n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
10.0,0.000253098,0.009608191,0.019973891,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000249425,0.008684856,0.014150634,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.00025985,0.008739714,0.017629262,37536.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000252004,0.008398113,0.007150809,37248.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000244761,0.008893234,0.025306012,37536.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.00023784,0.008164555,0.01746192,36096.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.00024872,0.00886195,0.014682648,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000250672,0.008757455,0.019572354,36096.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000244861,0.008353483,0.018910109,36096.0,750720.0,589552.0,0.0,0.0,2.0
10.0,0.000240265,0.008642883,0.021906001,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000253793,0.007936105,0.018653076,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000247257,0.009817156,0.016189807,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000246973,0.009584314,0.054615308,37536.0,750720.0,597296.0,0.0,0.0,0.0
10.0,0.000240553,0.009929654,0.008385586,37536.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000244675,0.009726613,0.014261825,36960.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000254598,0.011759277,0.023871978,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000273757,0.008977454,0.015193408,35808.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000241503,0.00945652,0.028630051,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000235437,0.007981378,0.009604264,37536.0,750720.0,590656.0,0.0,0.0,0.0
10.0,0.000232544,0.010806905,0.025697975,37824.0,750768.0,589552.0,0.0,2.0,2.0
10.0,0.00023089,0.009321162,0.014734336,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000233329,0.010685828,0.021444678,36960.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000245696,0.009973373,0.016104644,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000248649,0.010263317,0.015933724,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000245745,0.009108996,0.021575098,37536.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000247146,0.009444893,0.0157192,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000229406,0.008988351,0.013446324,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000253762,0.011114653,0.022922894,37536.0,750768.0,589552.0,0.0,2.0,2.0
10.0,0.000244449,0.009171019,0.018621411,36672.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000233911,0.009778527,0.014080775,37824.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000238523,0.013309393,0.017268942,35232.0,750720.0,589552.0,0.0,0.0,0.0
10.0,0.000231268,0.009086659,0.018096031,35232.0,750720.0,589552.0,0.0,0.0,0.0
