n,our_time,sdpa_time,mosek_time,our_mem,sdpa_mem,mosek_mem,our_res,sdpa_res,mosek_res
3.0,9.7382e-5,0.002770205,0.002404535,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.8219e-5,0.002778507,0.002371101,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,9.3133e-5,0.002859145,0.002456743,8560.0,197248.0,157184.0,1.0,1.0,1.0
3.0,8.9055e-5,0.00290915,0.00252715,8560.0,197248.0,157184.0,1.0,1.0,1.0
10.0,0.000224233,0.011752245,0.007318196,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000224009,0.011759389,0.011375307,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000234206,0.0123513,0.007242907,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000222279,0.011704491,0.006750307,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000236531,0.011652458,0.007398371,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.00023628,0.01214675,0.006731472,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000241583,0.011959215,0.007171326,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000224736,0.011917912,0.007225861,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000241088,0.00995093,0.082452189,27168.0,750720.0,607104.0,1.0,1.0,1.0
10.0,0.000298987,0.012033496,0.006458867,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.00022459,0.011504932,0.006355386,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000221046,0.011488778,0.006727975,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000224972,0.011613278,0.006169738,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000234068,0.011807666,0.006223301,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.0002266,0.01151594,0.00659423,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000239573,0.012089132,0.006411215,27168.0,750720.0,591472.0,1.0,1.0,1.0
10.0,0.000216065,0.011555013,0.005912439,27168.0,750720.0,591472.0,1.0,1.0,1.0
